chain_id,dp,mass,fraction_m1,fraction_m2,sequence
1,7,933.1480000000001,0.5714285714285714,0.42857142857142855,1221211
2,163,22759.155999999977,0.4785276073619632,0.5214723926380368,1212112211212221222211212122212221112111121212121211212121222212121212121122122211121212122112121221211222212112222122121122121211212111222121121212121212112211212
3,130,18165.664000000008,0.47692307692307695,0.5230769230769231,2122112212122112121212112121221221222122112121221122121211121221211212121121212111221221221112221212122121212112211221211222221112
4,133,17933.896,0.5488721804511278,0.45112781954887216,1212122122122212121211212121212122112121121212112112121221212121211211211112112122112112212121211112221211211212212121121121111211212
5,478,66315.46000000018,0.4916317991631799,0.5083682008368201,2112122112112121121221121221112121212112121121221212122121121112122122221212212122211211112122122121111211122212111212121212121121121222112212212222221121212121111211121121222222212212112221221221211211122212212121122212111221212211112212211121212121121211212112212121212122121112212122211212112122112212112121121212212111212212112221212121222121112122212112121221122121222222122211212122211212122121112212121121211222211212111212112121212221211212211212212122121212122222121111
6,89,12330.78800000001,0.4943820224719101,0.5056179775280899,21212111121212221221211112212111121222121212111222121221122122112111112121222222121221212
7,142,19891.68399999999,0.47183098591549294,0.528169014084507,2222122222212112112122121212121221121212122222121212121212111111211212221212212211222212211221212111122121212121212212121211212122112111212121
8,61,8530.168000000005,0.47540983606557374,0.5245901639344263,2211212111222121221112212122221211112221212121221212111221221
9,96,13468.020000000011,0.46875,0.53125,112111212122211212121212121212121222122212111211222212212121121221221212212221122112121212212121
10,204,28594.031999999963,0.47058823529411764,0.5294117647058824,112121122112222121212112121212112212212121122112121222122111122121211222112221211212121222121121111212122111212121122212121212221122212221122221212221221111212212121221222211212112122121121221121221221212
11,54,7665.048000000003,0.4444444444444444,0.5555555555555556,211221212222212121221212221211122212121221211122111122
12,55,8109.340000000006,0.36363636363636365,0.6363636363636364,1212222122112211222121212211222221212122212122221222121
13,53,7356.812000000003,0.49056603773584906,0.5094339622641509,22212112212121221212222211212111222111121221211211211
14,170,23828.359999999975,0.47058823529411764,0.5294117647058824,22212211112121212212212111212211111121211222112212122112221122121121222121222212211221212121112121122221122221212212222112121121221211221121222121212112122211121211212221
15,76,11248.924000000008,0.35526315789473684,0.6447368421052632,2122221221211222122121222122212212112221221212122122111212212212222122211222
16,217,30492.231999999953,0.46543778801843316,0.5345622119815668,1212221122112121211211221121121212121222121121212122112212212112222112122111221222221212212221111212121212111221212121221122211221121221211222121221212212122121221212212112122212211222211221212221212212211212121121111
17,136,18994.660000000003,0.47794117647058826,0.5220588235294118,2222111212112122112212211212112121212122122121111112121221222222221122122121222121211121212121211121121212121121122122121121222112112222
